available,name,description,price,cost,category_id,sort_order,abv,volume
TRUE,HOSS RYE LAGER,"HOSS is based on the Märzen lagers of Germany. Rich, layered malt notes, with hints of cherry and dark fruits, dominate, while the unique addition of rye imparts a slightly earthy, spicy character.",400,150,4,10,0.062,16
TRUE,BARREL AGED YETI,"The spirited aging process produces a hugely complex but mellowed Yeti, with its signature roasted flavors, hints of vanilla and oak, and a whiskeyed finish.  Who says you can’t tame a beast?",700,225,4,40,0.107,10
TRUE,RUMBLE IPA,"RUMBLE IPA is an American IPA with subtle nuance. Brewed with heavy handed additions of Pacific Northwest hops, this beer is gently aged on French and American oak resulting in a wonderful balance of bitterness, caramel sweetness, vanilla, and undertones of pine and citrus.",400,125,4,20,0.071,16
TRUE,PEACH GRAND CRU,"Brewed with Colorado fruit picked right at the peak of ripeness, this Belgian-style ale marries two of our home state’s well-known offerings: great beer and fresh Palisade peaches.",1000,350,4,50,0.12,10
TRUE,DARK & STORMY,Gosling's Black Seal Rum and ginger beer,700,165,1,10,0.23,8
TRUE,CASINO COCKTAIL,"Ransom Old Tom Gin, Leopold Bros. Maraschino,lemon and orange bitters",800,200,1,20,0.3,8
TRUE,2011 Jacques Girardin Burgundy,"A bold, voluptuos red with soft tannins and a spicy finish",1400,400,2,30,0.12,4
TRUE,2009 Predator Old Vine Zin,This one has some teeth!!,1000,350,2,20,0.12,4
TRUE,2011 Sonoma Cutrer Chardonnay,"These grapes grow in the verdant Russian River Valley, producing a nice balance of fruit and vanilla.",1100,375,2,10,0.11,4
TRUE,Pabst Blue Ribbon,Winner of World's Best Beer in 1893.,300,75,3,10,0.042,12
TRUE,Budweiser,Clydesdales and football.,375,90,3,20,0.045,12
TRUE,Coors Light,Shiny trains and surprisingly warm girls in snow.,375,90,3,30,0.045,12
TRUE,Glider Cider,"Colorado Cider Co was founded to produce a fresh hard cider for the discerning Colorado drinker.  Crisp, tart & drinkable.",500,150,5,10,0.0695,12
TRUE,Grasshop-ah,Grasshop-ah is an ode to the botanical neighbors and flavors of grasses (Lemon Grass) and flowers (Hops).,575,175,5,20,0.0695,12
FALSE,Nasty ledge beer,This one was left on the ledge at a frat party.  DO NOT DRINK THIS BEER!,125,0,3,20,0.0695,12
